ReactionKey,Name,PathwayKey,FormulaKey,GeneAssociation,Flux_Baseline,Flux_Stress75,DeltaFlux,AbsDeltaFlux,DeltaAbsFlux,FVA_Baseline_Min,FVA_Baseline_Max,FVA_Stress75_Min,FVA_Stress75_Max,Required_Baseline,Required_Stress75,ResponseClass,Evidence,NodeSize
G6PDH2r,"Glucose 6-phosphate dehydrogenase","Pentose Phosphate Pathway",g6p_c + nadp_c  <=> 6pgl_c + h_c + nadph_c,G6pd_AT1,-3.15544362088405e-30,0.0348001330000193,0.0348001330000193,0.0348001330000193,0.0348001330000193,0,0.0880682300000907,0.0326606184390405,0.122520230000194,0,1,Activated,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,4.79816805280838
GALKr,"Galactokinase","Galactose metabolism",gal_c + atp_c  -> adp_c + gal1p_c + h_c,Galk1_AT1,0.3169,0.3169,0,0,0,0.302221961666607,0.3169,0.302279983833328,0.3169,1,1,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
HOXG,"Heme oxygenase 1","Heme Degradation",pheme_c + 5 h_c + 3 nadph_c + 3 o2_c  -> biliverd_c + 3 h2o_c + co_c + fe2_c + 3 nadp_c,Hmox2_AT1 or Hmox1_AT1,0,0,0,0,0,0,0.0025,0,0.0025,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
HXPRT,"Hypoxanthine phosphoribosyltransferase (Hypoxanthine)","Salvage Pathway",hxan_c + prpp_c  -> imp_c + ppi_c,HprT1_AT1,0,0,0,0,0,0,0.0146780383332353,0,0.0146200161667096,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
NORMETEVESSte,"L-Normetanephrine seceretion via secretory vesicle (ATP driven)","Transport, Extracellular",2 atp_c + 2 h2o_c + 3 normete__L_c  -> 2 adp_c + 2 pi_c + 2 h_c + 3 normete__L_e,,0,0,0,0,0,0,0.0096,0,0.0096,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
NP1,"Nucleotide phosphatase","NAD Metabolism",h_c + r1p_c + nac_c  -> pi_c + nicrns_c,Np_AT1,0,0,0,0,0,0,0.001,0,0.000999999999999996,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
GALOR,"D-Galactose:NADP+ 1-oxidoreductase","Galactose metabolism",gal_c + h_c + nadph_c  <=> galt_c + nadp_c,Akr1a1_AT2 or Akr1a1_AT1 or Akr1b1_AT1,0,0,0,0,0,0,0,0,0,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
GALT,"Galactose 1 phosphate uridylyltransferase","Galactose metabolism",gal1p_c + h_c + utp_c  <=> ppi_c + udpgal_c,Galt_AT1 or Galt_AT3 or Galt_AT2,2.76360669670697e-17,0,-2.76360669670697e-17,2.76360669670697e-17,-2.76360669670697e-17,-999.697778038333,1000,-999.697720016167,1000,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
HYXNt,"Hypoxanthine transport","Transport, Extracellular",hxan_e  <=> hxan_c,Slc29a2_1_e,-3.23344918419705e-16,-4.51750905351724e-22,3.233444666688e-16,3.233444666688e-16,-3.233444666688e-16,-0.024,0,-0.0240000000000005,0,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
NRPPHRtu,"Norepinephrine uniport","Transport, Extracellular",nrpphr_e  <=> nrpphr_c,Slc22a2_AT2 or Slc22a2_AT1 or Slc22a3_AT1,-0,-0,0,0,0,0,0.0288,0,0.0288,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
